0:0	0	2	1	0	1	1	4	78	
0:1	1	2	1	1	2	2	5	170	
0:2	2	2	0	2	0	2	2	69	
0:3	3	2	0	0	1	0	0	53	
1:0	0	2	1	0	1	1	4	93	
1:1	1	2	1	1	2	2	5	85	
1:2	2	2	0	2	0	2	2	59	
1:3	3	2	0	0	1	0	0	40	
2:0	0	2	1	0	1	1	4	79	
2:1	1	2	1	1	2	2	5	87	
2:2	2	2	0	2	0	2	2	35	
2:3	3	2	0	0	1	0	0	37	
3:0	0	2	1	0	1	1	4	123	
3:1	1	2	1	1	2	2	5	171	
3:2	2	2	0	2	0	2	2	90	
3:3	3	2	0	0	1	0	0	36	
4:0	0	2	1	0	1	1	4	92	
4:1	1	2	1	1	2	2	5	45	
4:2	2	2	0	2	0	2	2	77	
4:3	3	2	0	0	1	0	0	32	
5:0	0	2	1	0	1	1	4	94	
5:1	1	2	1	1	2	2	5	68	
5:2	2	2	0	2	0	2	2	40	
5:3	3	2	0	0	1	0	0	70	
6:0	0	2	1	0	1	1	4	104	
6:1	1	2	1	1	2	2	5	61	
6:2	2	2	0	2	0	2	2	62	
6:3	3	2	0	0	1	0	0	42	
7:0	0	2	1	0	1	1	4	61	
7:1	1	2	1	1	2	2	5	250	
7:2	2	2	0	2	0	2	2	84	
7:3	3	2	0	0	1	0	0	29	
8:0	0	2	1	0	1	1	4	93	
8:1	1	2	1	1	2	2	5	92	
8:2	2	2	0	2	0	2	2	81	
8:3	3	2	0	0	1	0	0	49	
9:0	0	2	1	0	1	1	4	271	
9:1	1	2	1	1	2	2	5	48	
9:2	2	2	0	2	0	2	2	92	
9:3	3	2	0	0	1	0	0	50	
10:0	0	2	1	0	1	1	4	262	
10:1	1	2	1	1	2	2	5	86	
10:2	2	2	0	2	0	2	2	62	
10:3	3	2	0	0	1	0	0	51	
11:0	0	2	1	0	1	1	4	71	
11:1	1	2	1	1	2	2	5	74	
11:2	2	2	0	2	0	2	2	62	
11:3	3	2	0	0	1	0	0	55	
12:0	0	2	1	0	1	1	4	369	
12:1	1	2	1	1	2	2	5	96	
12:2	2	2	0	2	0	2	2	42	
12:3	3	2	0	0	1	0	0	34	
13:0	0	2	1	0	1	1	4	85	
13:1	1	2	1	1	2	2	5	95	
13:2	2	2	0	2	0	2	2	59	
13:3	3	2	0	0	1	0	0	69	
14:0	0	2	1	0	1	1	4	171	
14:1	1	2	1	1	2	2	5	74	
14:2	2	2	0	2	0	2	2	48	
14:3	3	2	0	0	1	0	0	41	
15:0	0	2	1	0	1	1	4	128	
15:1	1	2	1	1	2	2	5	131	
15:2	2	2	0	2	0	2	2	92	
15:3	3	2	0	0	1	0	0	37	
16:0	0	2	1	0	1	1	4	235	
16:1	1	2	1	1	2	2	5	47	
16:2	2	2	0	2	0	2	2	56	
16:3	3	2	0	0	1	0	0	68	
17:0	0	2	1	0	1	1	4	88	
17:1	1	2	1	1	2	2	5	63	
17:2	2	2	0	2	0	2	2	76	
17:3	3	2	0	0	1	0	0	50	
18:0	0	2	1	0	1	1	4	94	
18:1	1	2	1	1	2	2	5	94	
18:2	2	2	0	2	0	2	2	58	
18:3	3	2	0	0	1	0	0	36	
19:0	0	2	1	0	1	1	4	173	
19:1	1	2	1	1	2	2	5	69	
19:2	2	2	0	2	0	2	2	72	
19:3	3	2	0	0	1	0	0	41	
20:0	0	2	1	0	1	1	4	44	
20:1	1	2	1	1	2	2	5	68	
20:2	2	2	0	2	0	2	2	53	
20:3	3	2	0	0	1	0	0	48	
21:0	0	2	1	0	1	1	4	103	
21:1	1	2	1	1	2	2	5	120	
21:2	2	2	0	2	0	2	2	69	
21:3	3	2	0	0	1	0	0	41	
22:0	0	2	1	0	1	1	4	100	
22:1	1	2	1	1	2	2	5	64	
22:2	2	2	0	2	0	2	2	72	
22:3	3	2	0	0	1	0	0	85	
23:0	0	2	1	0	1	1	4	66	
23:1	1	2	1	1	2	2	5	77	
23:2	2	2	0	2	0	2	2	96	
23:3	3	2	0	0	1	0	0	36	
24:0	0	2	1	0	1	1	4	96	
24:1	1	2	1	1	2	2	5	48	
24:2	2	2	0	2	0	2	2	61	
24:3	3	2	0	0	1	0	0	44	
25:0	0	2	1	0	1	1	4	78	
25:1	1	2	1	1	2	2	5	77	
25:2	2	2	0	2	0	2	2	66	
25:3	3	2	0	0	1	0	0	33	
26:0	0	2	1	0	1	1	4	96	
26:1	1	2	1	1	2	2	5	95	
26:2	2	2	0	2	0	2	2	60	
26:3	3	2	0	0	1	0	0	44	
27:0	0	2	1	0	1	1	4	115	
27:1	1	2	1	1	2	2	5	150	
27:2	2	2	0	2	0	2	2	101	
27:3	3	2	0	0	1	0	0	30	
28:0	0	2	1	0	1	1	4	61	
28:1	1	2	1	1	2	2	5	86	
28:2	2	2	0	2	0	2	2	81	
28:3	3	2	0	0	1	0	0	53	
29:0	0	2	1	0	1	1	4	102	
29:1	1	2	1	1	2	2	5	58	
29:2	2	2	0	2	0	2	2	52	
29:3	3	2	0	0	1	0	0	65	
30:0	0	2	1	0	1	1	4	97	
30:1	1	2	1	1	2	2	5	76	
30:2	2	2	0	2	0	2	2	83	
30:3	3	2	0	0	1	0	0	36	
31:0	0	2	1	0	1	1	4	92	
31:1	1	2	1	1	2	2	5	351	
31:2	2	2	0	2	0	2	2	64	
31:3	3	2	0	0	1	0	0	61	
32:0	0	2	1	0	1	1	4	171	
32:1	1	2	1	1	2	2	5	92	
32:2	2	2	0	2	0	2	2	65	
32:3	3	2	0	0	1	0	0	33	
33:0	0	2	1	0	1	1	4	99	
33:1	1	2	1	1	2	2	5	99	
33:2	2	2	0	2	0	2	2	77	
33:3	3	2	0	0	1	0	0	51	
34:0	0	2	1	0	1	1	4	97	
34:1	1	2	1	1	2	2	5	188	
34:2	2	2	0	2	0	2	2	52	
34:3	3	2	0	0	1	0	0	31	
35:0	0	2	1	0	1	1	4	99	
35:1	1	2	1	1	2	2	5	78	
35:2	2	2	0	2	0	2	2	92	
35:3	3	2	0	0	1	0	0	59	
36:0	0	2	1	0	1	1	4	351	
36:1	1	2	1	1	2	2	5	89	
36:2	2	2	0	2	0	2	2	58	
36:3	3	2	0	0	1	0	0	57	
37:0	0	2	1	0	1	1	4	69	
37:1	1	2	1	1	2	2	5	70	
37:2	2	2	0	2	0	2	2	45	
37:3	3	2	0	0	1	0	0	33	
38:0	0	2	1	0	1	1	4	79	
38:1	1	2	1	1	2	2	5	77	
38:2	2	2	0	2	0	2	2	112	
38:3	3	2	0	0	1	0	0	55	
39:0	0	2	1	0	1	1	4	95	
39:1	1	2	1	1	2	2	5	66	
39:2	2	2	0	2	0	2	2	52	
39:3	3	2	0	0	1	0	0	29	
40:0	0	2	1	0	1	1	4	65	
40:1	1	2	1	1	2	2	5	66	
40:2	2	2	0	2	0	2	2	61	
40:3	3	2	0	0	1	0	0	46	
41:0	0	2	1	0	1	1	4	94	
41:1	1	2	1	1	2	2	5	40	
